year,maker,vehicle_category,total
2021,ADISHWAR AUTO RIDE INDIA PVT.LTD,TWO WHEELER,1
2021,ADISHWAR AUTO RIDE INDIA PVT LTD,TWO WHEELER,1870
2021,ADRIS ELECTRIC PVT LTD,TWO WHEELER,65
2021,AFTEK MOTORS INDIA PVT LTD,TWO WHEELER,8
2021,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,TWO WHEELER,1
2021,AMPERE VEHICLES PRIVATE LIMITED,TWO WHEELER,12470
2021,AMPERE VEHICLES PVT LTD,TWO WHEELER,315
2021,ANVITA AUTO TECH WORKS PVT LTD,TWO WHEELER,5
2021,ATHER ENERGY LTD,TWO WHEELER,15930
2021,ATOMEX E-MOTORS INDIA PVT LTD,TWO WHEELER,17
2021,BAJAJ AUTO LTD,TWO WHEELER,1704624
2021,BAJAJ IMPLEMENTS PVT LTD,TWO WHEELER,24
2021,BAJAJ TEMPO LIMITED,TWO WHEELER,5
2021,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,TWO WHEELER,4759
2021,BLIX CYCLES AND E-VEHICLES PVT LTD,TWO WHEELER,8
2021,BMW INDIA PVT LTD,TWO WHEELER,4746
2021,CHANDANA CORPORATION,TWO WHEELER,133
2021,CLASSIC LEGENDS PVT LTD,TWO WHEELER,27793
2021,DUCATI INDIA PVT LTD,TWO WHEELER,287
2021,ECO FUEL SYSTEMS (I) PVT LTD,TWO WHEELER,280
2021,EICHER MOTORS LTD,TWO WHEELER,2
2021,ELECTRECA VEHICLES,TWO WHEELER,40
2021,ELTHOR ENERGY PRIVATE LIMITED,TWO WHEELER,402
2021,EMOBI MANUFACTURY PRIVATE LIMITED,TWO WHEELER,3
2021,ESCORTS CONSTRUCTION EQUIPMENT LTD,TWO WHEELER,17
2021,ESCORTS R&D CENTRE,TWO WHEELER,1
2021,FORCE MOTORS LIMITED,TWO WHEELER,1
2021,FORD INDIA PVT LTD,TWO WHEELER,1
2021,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,TWO WHEELER,9
2021,GOREEN E-MOBILITY PVT LTD,TWO WHEELER,1409
2021,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),TWO WHEELER,120
2021,H-D MOTOR COMPANY INDIA PVT LTD,TWO WHEELER,320
2021,HERO ELECTRIC VEHICLE PVT LTD,TWO WHEELER,3058
2021,HERO ELECTRIC VEHICLES PVT. LTD,TWO WHEELER,46265
2021,HERO HONDA MOTORS LTD,TWO WHEELER,190
2021,HERO MOTOCORP LTD,TWO WHEELER,4832614
2021,HONDA CARS INDIA LTD,TWO WHEELER,1216
2021,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,TWO WHEELER,3296943
2021,HYUNDAI MOTOR INDIA LTD,TWO WHEELER,4
2021,IDEAL JAWA INDIA PVT LTD,TWO WHEELER,2
2021,INDIA KAWASAKI MOTORS PVT LTD,TWO WHEELER,2681
2021,INDIA YAMAHA MOTOR PVT LTD,TWO WHEELER,477445
2021,IRA EDUTECH PVT LTD,TWO WHEELER,78
2021,ISUZU MOTORS INDIA PVT LTD,TWO WHEELER,1
2021,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),TWO WHEELER,2
2021,JITENDRA NEW EV-TECH PVT. LTD,TWO WHEELER,1967
2021,KABIRA MOBILITY LLP,TWO WHEELER,5
