year,maker,vehicle_category,total,,
2023,AADITYA EMOTORS INDIA PVT LTD,TWO WHEELER,1,,
2023,ABZO MOTORS PVT LTD,TWO WHEELER,12,,
2023,ADISHWAR AUTO RIDE INDIA PVT.LTD,TWO WHEELER,1,,
2023,ADISHWAR AUTO RIDE INDIA PVT LTD,TWO WHEELER,384,,
2023,ADRIS ELECTRIC PVT LTD,TWO WHEELER,61,,
2023,AFTEK MOTORS INDIA PVT LTD,TWO WHEELER,138,,
2023,AJS MOTORCYCLES LTD,TWO WHEELER,1,,
2023,ALTIUS EV TECH PVT LTD,TWO WHEELER,37,,
2023,AMO MOBILITY SOLUTIONS PVT LTD,TWO WHEELER,1574,,
2023,AMPERE VEHICLES PRIVATE LIMITED,TWO WHEELER,42916,,
2023,AMPERE VEHICLES PVT LTD,TWO WHEELER,8,,
2023,ANCHI MOTORCYCLE (IMPORTER: ECOTRINITY AUTOMOBILE,TWO WHEELER,51,,
2023,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),TWO WHEELER,8,,
2023,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),TWO WHEELER,13,,
2023,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),TWO WHEELER,1,,
2023,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),TWO WHEELER,61,,
2023,ANVITA AUTO TECH WORKS PVT LTD,TWO WHEELER,26,,
2023,ATHER ENERGY LTD,TWO WHEELER,14739,,
2023,ATOMEX E-MOTORS INDIA PVT LTD,TWO WHEELER,1,,
2023,ATUMOBILE PVT LTD,TWO WHEELER,105,,
2023,AYAAN ELECTRONIC PVT LTD,TWO WHEELER,112,,
2023,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),TWO WHEELER,4,,
2023,BAJAJ AUTO LTD,TWO WHEELER,2016794,,
2023,BATTRE ELECTRIC MOBLITY PVT LTD,TWO WHEELER,4139,,
2023,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,TWO WHEELER,35,,
2023,BGAUSS AUTO PRIVATE LIMITED,TWO WHEELER,11454,,
2023,BLIX CYCLES AND E-VEHICLES PVT LTD,TWO WHEELER,65,,
