
year,maker,vehicle_category,total
2025,A-1 SUREJA INDUSTRIES,TWO WHEELER,2
2025,ABZO MOTORS PVT LTD,TWO WHEELER,11
2025,ADISHWAR AUTO RIDE INDIA PVT LTD,TWO WHEELER,101
2025,ADRIS ELECTRIC PVT LTD,TWO WHEELER,1
2025,AFTEK MOTORS INDIA PVT LTD,TWO WHEELER,6
2025,ALTIUS EV TECH PVT LTD,TWO WHEELER,3
2025,AMO MOBILITY SOLUTIONS PVT LTD,TWO WHEELER,25
2025,AMPERE VEHICLES PRIVATE LIMITED,TWO WHEELER,132
2025,ANCHI MOTORCYCLE (IMPORTER: ECOTRINITY AUTOMOBILE),TWO WHEELER,4
2025,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),TWO WHEELER,5
2025,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),TWO WHEELER,1
2025,ANVITA AUTO TECH WORKS PVT LTD,TWO WHEELER,3
2025,A.R. MOTOR,TWO WHEELER,1
2025,ASHNNI MOTORS PVT LTD,TWO WHEELER,2
2025,ATHER ENERGY LTD,TWO WHEELER,104703
2025,ATUMOBILE PVT LTD,TWO WHEELER,11
2025,AYAAN ELECTRONIC PVT LTD,TWO WHEELER,2
2025,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),TWO WHEELER,3
2025,BAJAJ AUTO LTD,TWO WHEELER,1217370
2025,BATTRE ELECTRIC MOBLITY PVT LTD,TWO WHEELER,889
2025,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,TWO WHEELER,108
2025,BGAUSS AUTO PRIVATE LIMITED,TWO WHEELER,11959
2025,BMR EV INDUSTRIES PVT LTD,TWO WHEELER,5
2025,BMW INDIA PVT LTD,TWO WHEELER,3550
2025,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,TWO WHEELER,617
2025,BOUNCE ELECTRIC 1 PVT LTD,TWO WHEELER,2157
2025,BU4 AUTO PVT LTD,TWO WHEELER,50
2025,CHANDANA CORPORATION,TWO WHEELER,58
2025,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),TWO WHEELER,135
2025,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),TWO WHEELER,18
2025,CLASSIC LEGENDS PVT LTD,TWO WHEELER,17168
2025,DAO EVTECH PRIVATE LIMITED,TWO WHEELER,4
2025,DUCATI INDIA PVT LTD,TWO WHEELER,234
2025,DURGA FILTERS PVT LTD,TWO WHEELER,3
2025,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),TWO WHEELER,19
2025,ECO FUEL SYSTEMS (I) PVT LTD,TWO WHEELER,100
2025,ECOPLANET MOTORS PVT LTD,TWO WHEELER,1
2025,ELECTRECA VEHICLES,TWO WHEELER,1
2025,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),TWO WHEELER,38
2025,ELECTROTHERM (INDIA) LIMITED,TWO WHEELER,10
2025,ELEGO MOTORS PVT LTD,TWO WHEELER,15
2025,ELTHOR ENERGY PRIVATE LIMITED,TWO WHEELER,40
2025,EMOBI MANUFACTURY PRIVATE LIMITED,TWO WHEELER,17
2025,ENGTIAN ELECTRIC BIKE PVT LTD,TWO WHEELER,165
2025,ESCORTS LTD,TWO WHEELER,1
2025,E-SPRINTO GREEN ENERGY PVT LTD,TWO WHEELER,3434
2025,ESSEL ENERGY INFRA PVT LTD,TWO WHEELER,6
2025,EVTRIC MOTORS PVT LTD,TWO WHEELER,40
2025,EXERVAL PVT LTD,TWO WHEELER,6
2025,EYAMAUTO MOBILITY PVT LTD,TWO WHEELER,1
2025,FUJIYAMA POWER INFRA PVT. LTD.,TWO WHEELER,42
2025,GAURA ELECTRIC VEHICLES PVT LTD,TWO WHEELER,594
2025,GODAWARI ELECTRIC MOTORS PVT LTD,TWO WHEELER,204
2025,GODREJ AND BOYCE MFG CO LTD,TWO WHEELER,1
2025,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),TWO WHEELER,1
2025,GOREEN E-MOBILITY PVT LTD,TWO WHEELER,305
2025,GREAVES ELECTRIC MOBILITY PVT LTD,TWO WHEELER,31423
2025,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),TWO WHEELER,54
2025,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),TWO WHEELER,27
2025,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),TWO WHEELER,157
2025,HERO ELECTRIC VEHICLES PVT. LTD,TWO WHEELER,417
2025,HERO HONDA MOTORS LTD,TWO WHEELER,4
2025,HERO MOTOCORP LTD,TWO WHEELER,3123673
2025,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,TWO WHEELER,2711418
